"","seriesId","seriesTitle","seriesAvgRating","totalVotes","avgVotes","numSeasons","avgRuntime","seriesStartYear","seriesStartDecade","lengthYears","genres","baseGenre"
"53","tt4786824","The Crown",8.27,266354,4439,6,54.6,"2016","2010s",7,"Biography,Drama,History","Biography"
"54","tt0460649","How I Met Your Mother",8.01,921950,4432,9,24.2,"2005","2000s",9,"Comedy,Drama,Romance","Comedy"
"55","tt1312171","The Umbrella Academy",7.68,158748,4410,4,51,"2019","2010s",5,"Action,Adventure,Comedy","Action"
"56","tt0098904","Seinfeld",8.26,754058,4384,9,24.1,"1989","1980s",9,"Comedy","Comedy"
"57","tt2661044","The 100",7.98,428363,4284,7,41.8,"2014","2010s",6,"Action,Drama,Sci-Fi","Action"
"58","tt0060028","Star Trek",7.34,341265,4266,3,50.5,"1966","1960s",3,"Action,Adventure,Drama","Action"
"59","tt7221388","Cobra Kai",8.31,276204,4249,6,34.6,"2018","2010s",7,"Action,Comedy,Drama","Action"
"60","tt7335184","You",7.82,169348,4234,4,47.6,"2018","2010s",7,"Crime,Drama,Romance","Crime"
"61","tt2431438","Sense8",8.57,100162,4173,2,61.8,"2015","2010s",3,"Drama,Mystery,Sci-Fi","Drama"
"62","tt1865718","Gravity Falls",8.54,170351,4155,2,23.1,"2012","2010s",4,"Adventure,Animation,Comedy","Adventure"
"63","tt2261227","Altered Carbon",7.46,73092,4061,2,51.6,"2018","2010s",2,"Action,Adventure,Drama","Action"
"64","tt2193021","Arrow",8.16,688524,4050,8,42.4,"2012","2010s",8,"Action,Adventure,Crime","Action"
"65","tt6257970","The End of the F***ing World",8.07,63514,3970,2,21.1,"2017","2010s",2,"Adventure,Comedy,Crime","Adventure"
"66","tt1839578","Person of Interest",8.79,408729,3968,5,43.7,"2011","2010s",5,"Action,Crime,Drama","Action"
"67","tt0448190","Masters of Horror",6.07,102479,3942,2,58.9,"2005","2000s",2,"Horror","Horror"
"68","tt2357547","Jessica Jones",7.89,152157,3901,3,51.4,"2015","2010s",4,"Action,Crime,Drama","Action"
"69","tt0092455","Star Trek: The Next Generation",7.32,683452,3883,7,46.1,"1987","1980s",7,"Action,Adventure,Drama","Action"
"70","tt5691552","The Orville",7.99,139461,3874,3,52.9,"2017","2010s",5,"Adventure,Comedy,Drama","Adventure"
"71","tt0898266","The Big Bang Theory",7.77,1072334,3843,12,20.3,"2007","2000s",12,"Comedy,Romance","Comedy"
"72","tt5171438","Star Trek: Discovery",6.8,245921,3783,5,50.6,"2017","2010s",7,"Action,Adventure,Drama","Action"
"73","tt1837492","13 Reasons Why",7.22,184653,3768,4,58.1,"2017","2010s",3,"Drama,Mystery,Thriller","Thriller"
"74","tt0118276","Buffy the Vampire Slayer",7.99,546107,3766,7,51.6,"1997","1990s",6,"Action,Adventure,Drama","Action"
"75","tt5834204","The Handmaid's Tale",8.1,224337,3739,6,51.4,"2017","2010s",8,"Drama,Sci-Fi,Thriller","Thriller"
"76","tt0412142","House",8.37,653716,3714,8,44.4,"2004","2000s",8,"Drama,Mystery","Drama"
"77","tt4179452","The Last Kingdom",8.68,170687,3711,5,55.4,"2015","2010s",7,"Action,Drama,History","Action"
"78","tt1442449","Spartacus",8.55,122212,3703,3,53.8,"2010","2010s",3,"Action,Adventure,Biography","Action"
"79","tt3107288","The Flash",7.57,670880,3646,9,42,"2014","2010s",9,"Action,Adventure,Drama","Action"
"80","tt12708542","Star Wars: The Bad Batch",7.88,170325,3624,3,27.1,"2021","2020s",3,"Action,Adventure,Animation","Action"
"81","tt2467372","Brooklyn Nine-Nine",8,553228,3616,8,21.9,"2013","2010s",8,"Comedy,Crime","Comedy"
"82","tt3230854","The Expanse",8.35,221594,3574,6,45.3,"2015","2010s",7,"Drama,Mystery,Sci-Fi","Drama"
"83","tt7016936","Killing Eve",7.72,111729,3492,4,41.8,"2018","2010s",4,"Action,Adventure,Drama","Action"
"84","tt3743822","Fear the Walking Dead",6.97,375440,3322,8,45.6,"2015","2010s",8,"Drama,Horror,Sci-Fi","Horror"
"85","tt1124373","Sons of Anarchy",8.51,301808,3281,7,54.9,"2008","2000s",6,"Crime,Drama,Thriller","Crime"
"86","tt0052520","The Twilight Zone",7.45,508847,3262,5,28,"1959","1950s",5,"Drama,Fantasy,Horror","Drama"
"87","tt2364582","Agents of S.H.I.E.L.D.",8.32,439839,3234,7,42.6,"2013","2010s",7,"Action,Adventure,Drama","Action"
"88","tt2403776","Shadow and Bone",7.81,51029,3189,2,55.5,"2021","2020s",2,"Action,Adventure,Drama","Action"
"89","tt4955642","The Good Place",8.09,159333,3187,4,23.4,"2016","2010s",4,"Comedy,Drama,Fantasy","Comedy"
"90","tt1710308","Regular Show",8.44,770285,3157,8,11.8,"2010","2010s",7,"Action,Adventure,Animation","Action"
"91","tt3322310","Iron Fist",7.41,72463,3151,2,54.1,"2017","2010s",1,"Action,Adventure,Crime","Action"
"92","tt1466074","Columbo",7.54,134722,3133,7,82.2,"1971","1970s",7,"Crime,Drama,Mystery","Crime"
"93","tt4288182","Atlanta",8.39,127984,3122,4,29.2,"2016","2010s",6,"Comedy,Drama,Music","Comedy"
"94","tt8398600","After Life",8.06,55547,3086,3,28.2,"2019","2010s",3,"Comedy,Drama","Comedy"
"95","tt0804503","Mad Men",8.42,282419,3070,7,49.4,"2007","2000s",8,"Drama","Drama"
"96","tt3322314","Luke Cage",7.71,79658,3064,2,56.4,"2016","2010s",2,"Action,Crime,Drama","Action"
"97","tt1796960","Homeland",8.2,291255,3034,8,51.9,"2011","2010s",9,"Crime,Drama,Mystery","Crime"
"98","tt3749900","Gotham",8.2,301741,3017,5,43.4,"2014","2010s",5,"Action,Crime,Drama","Action"
"99","tt8543390","Modern Love",7.22,47386,2962,2,32.4,"2019","2010s",2,"Comedy,Drama,Romance","Comedy"
"100","tt2017109","Banshee",8.56,111477,2934,4,51.3,"2013","2010s",3,"Action,Crime,Drama","Action"
